# {'par': {'k': 1.5; 'D': 0.2; 'v': 1; 'tau': 0.8; 'R': 0.3; 'label': 'default'}; 'guess_range': ([-20; 5; 5]; [0; 50; 25]); 'tols': (1e-09; 1e-06; 4)}
Sol_r,Sol_i,Guess,g(x),g*(x),ier,msg,infodict,cumul_err,cmplx_cnj,cluster_label,instances
0.3550376588492255,0.0,[5. 0.],7.824620974091999e-16,2.3749036367432667e-16,1,The solution converged.,"{'nfev': 32, 'fjac': array([[-0.14192914, -0.98987682],
       [ 0.98987682, -0.14192914]]), 'r': array([-1.64102588e+00,  1.55851050e-04, -1.64203282e+00]), 'qtf': array([-7.63550962e-11,  6.62062999e-11]), 'fvec': array([2.28878340e-16, 7.85024402e-16])}",6.686486067201681e-31,Real,-1,5
-1.0659053112373045,-3.205595056454926,[-1.06590531 -3.20559506],1.8860427504311532e-12,2.6933558831889227e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91093458, -0.41255083],
       [ 0.41255083, -0.91093458]]), 'r': array([-2.71370391, -2.0415034 , -1.79146413]), 'qtf': array([-3.61463295e-11, -3.03953833e-11]), 'fvec': array([3.12017849e-12, 1.03721229e-12])}",1.0811323169962291e-23,Yes,0,36
-1.0659053112373045,3.205595056454926,[-1.06590531 -3.20559506],1.8860427504311532e-12,2.6933558831889227e-12,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.91093458, -0.41255083],
       [ 0.41255083, -0.91093458]]), 'r': array([-2.71370391, -2.0415034 , -1.79146413]), 'qtf': array([-3.61463295e-11, -3.03953833e-11]), 'fvec': array([3.12017849e-12, 1.03721229e-12])}",1.0811323169962291e-23,No,0,36
-3.0780434318783847,-8.214733922496697,[-3.07804343 -8.21473392],3.813082479392986e-12,1.9003287673644817e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.56495762, -0.82511992],
       [ 0.82511992, -0.56495762]]), 'r': array([-9.10403965, -8.48861116,  3.29233317]), 'qtf': array([-1.75650672e-11,  1.08720465e-11]), 'fvec': array([1.18146573e-11, 1.53648434e-11])}",3.756645404019548e-22,Yes,1,46
-3.0780434318783847,8.214733922496697,[-3.07804343 -8.21473392],3.813082479392986e-12,1.9003287673644817e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.56495762, -0.82511992],
       [ 0.82511992, -0.56495762]]), 'r': array([-9.10403965, -8.48861116,  3.29233317]), 'qtf': array([-1.75650672e-11,  1.08720465e-11]), 'fvec': array([1.18146573e-11, 1.53648434e-11])}",3.756645404019548e-22,No,1,46
-4.83055077186845,14.025766152023621,[-5. 12.],1.0041229229957883e-14,1.1297685358725463e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.99983919, -0.01793289],
       [ 0.01793289, -0.99983919]]), 'r': array([3.31721612e+01, 4.31372932e-03, 3.31975448e+01]), 'qtf': array([-2.41287026e-10, -5.53290441e-10]), 'fvec': array([1.08777610e-13, 3.21251814e-14])}",1.286459573092453e-26,No,3,44
-4.83055077186845,-14.025766152023621,[-5. 12.],1.0041229229957883e-14,1.1297685358725463e-13,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.99983919, -0.01793289],
       [ 0.01793289, -0.99983919]]), 'r': array([3.31721612e+01, 4.31372932e-03, 3.31975448e+01]), 'qtf': array([-2.41287026e-10, -5.53290441e-10]), 'fvec': array([1.08777610e-13, 3.21251814e-14])}",1.286459573092453e-26,Yes,3,44
-6.357562445733818,20.22534742230459,[ 0. 32.],3.432008069786729e-14,1.5578234250063356e-12,1,The solution converged.,"{'nfev': 10, 'fjac': array([[ 0.68917694, -0.72459309],
       [ 0.72459309,  0.68917694]]), 'r': array([-114.70167568,   -6.32956712,  -99.25771317]), 'qtf': array([3.99572886e-11, 4.38964262e-11]), 'fvec': array([1.12295807e-12, 1.08025777e-12])}",2.4279916914375782e-24,No,2,56
-6.357562445733818,-20.22534742230459,[ 0. 32.],3.432008069786729e-14,1.5578234250063356e-12,1,The solution converged.,"{'nfev': 10, 'fjac': array([[ 0.68917694, -0.72459309],
       [ 0.72459309,  0.68917694]]), 'r': array([-114.70167568,   -6.32956712,  -99.25771317]), 'qtf': array([3.99572886e-11, 4.38964262e-11]), 'fvec': array([1.12295807e-12, 1.08025777e-12])}",2.4279916914375782e-24,Yes,2,56
-7.718886896683346,26.656872834313667,[-4.99234304 26.77604831],1.4602703977091187e-14,1.756866306610117e-12,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.29836808,  0.95445088],
       [-0.95445088, -0.29836808]]), 'r': array([-3.06411870e+02, -1.35750520e-02,  3.06389546e+02]), 'qtf': array([ 1.55737589e-09, -1.59751521e-09]), 'fvec': array([2.84300436e-13, 1.73377211e-12])}",3.0867924582653163e-24,No,4,38
-7.718886896683346,-26.656872834313667,[-4.99234304 26.77604831],1.4602703977091187e-14,1.756866306610117e-12,1,The solution converged.,"{'nfev': 6, 'fjac': array([[-0.29836808,  0.95445088],
       [-0.95445088, -0.29836808]]), 'r': array([-3.06411870e+02, -1.35750520e-02,  3.06389546e+02]), 'qtf': array([ 1.55737589e-09, -1.59751521e-09]), 'fvec': array([2.84300436e-13, 1.73377211e-12])}",3.0867924582653163e-24,Yes,4,38
-8.955611418012918,-33.24524227784921,[ -8.95561142 -33.24524228],1.0785152415571197e-13,3.154581292612308e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.23623837, -0.97169513],
       [ 0.97169513, -0.23623837]]), 'r': array([-803.64685937, -368.95526548,  713.94653825]), 'qtf': array([-3.95205240e-10, -5.49297449e-11]), 'fvec': array([1.85571252e-12, 3.14913683e-11])}",9.951499451212168e-22,Yes,5,32
-8.955611418012918,33.24524227784921,[ -8.95561142 -33.24524228],1.0785152415571197e-13,3.154581292612308e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.23623837, -0.97169513],
       [ 0.97169513, -0.23623837]]), 'r': array([-803.64685937, -368.95526548,  713.94653825]), 'qtf': array([-3.95205240e-10, -5.49297449e-11]), 'fvec': array([1.85571252e-12, 3.14913683e-11])}",9.951499451212168e-22,No,5,32
-10.095140365092403,-39.94830218596649,[-2.06884694 44.94355824],4.3982771113564756e-14,2.943062178955092e-11,1,The solution converged.,"{'nfev': 41, 'fjac': array([[ 0.70029536, -0.71385321],
       [ 0.71385321,  0.70029536]]), 'r': array([-1.96128131e+03, -1.11842330e-01, -1.96126031e+03]), 'qtf': array([3.23738948e-06, 3.51063575e-06]), 'fvec': array([5.68449844e-12, 2.88764595e-11])}",8.661634334037441e-22,Yes,6,34
-10.095140365092403,39.94830218596649,[-2.06884694 44.94355824],4.3982771113564756e-14,2.943062178955092e-11,1,The solution converged.,"{'nfev': 41, 'fjac': array([[ 0.70029536, -0.71385321],
       [ 0.71385321,  0.70029536]]), 'r': array([-1.96128131e+03, -1.11842330e-01, -1.96126031e+03]), 'qtf': array([3.23738948e-06, 3.51063575e-06]), 'fvec': array([5.68449844e-12, 2.88764595e-11])}",8.661634334037441e-22,No,6,34
-11.156446909849109,-46.73978175960528,[-11.15644691 -46.73978176],1.4169160186078337e-14,1.19625350980331e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99983529, -0.01814929],
       [ 0.01814929, -0.99983529]]), 'r': array([-4513.61443937,  -163.81191164, -4510.64085632]), 'qtf': array([-1.93644767e-11, -1.44302284e-11]), 'fvec': array([1.81900507e-12, 1.18234372e-11])}",1.4310244673677417e-22,Yes,7,18
-11.156446909849109,46.73978175960528,[-11.15644691 -46.73978176],1.4169160186078337e-14,1.19625350980331e-11,1,The solution converged.,"{'nfev': 4, 'fjac': array([[-0.99983529, -0.01814929],
       [ 0.01814929, -0.99983529]]), 'r': array([-4513.61443937,  -163.81191164, -4510.64085632]), 'qtf': array([-1.93644767e-11, -1.44302284e-11]), 'fvec': array([1.81900507e-12, 1.18234372e-11])}",1.4310244673677417e-22,No,7,18
